"logFC" "logCPM" "F" "PValue" "FDR"
"CCDC198" 9.14045877135866 4.00812387752458 83.2693488986363 1.43603142867854e-06 0.000236012685235038
"BASP1" -5.99199374062874 6.26077837890944 119.784321895202 1.44989464090014e-06 0.000236012685235038
"SHISAL2B" 5.42576766130619 0.0203134742016289 82.1993923294473 1.45159383285236e-06 0.000236012685235038
"RBPJL" 13.6750927084461 8.89409095636502 85.695646378859 1.48427480664322e-06 0.000238296638302116
"C16orf92" -5.97418559885253 1.48218451978126 101.816986501405 1.48643050282236e-06 0.000238296638302116
"ZIM2-AS1" -5.38867186362476 -0.368993914977364 76.0562676656429 1.50852243702154e-06 0.00024015886714388
"OPCML" -9.86119673172372 5.20352308090071 105.482857366378 1.53096401504584e-06 0.000241225247085284
"ETNPPL" -12.3799122473302 6.27189768740219 68.7600675266618 1.53626547762057e-06 0.000241225247085284
"SV2A" -6.68078561777424 6.29652846404271 117.579652115181 1.5752068726803e-06 0.000244767318351251
"CAMK2B" -6.28058587528033 6.79226791460168 117.474642184939 1.58017723515748e-06 0.000244767318351251
"CHST4" 7.87993244609729 1.45458914502763 61.7738846900854 1.59581295612108e-06 0.000244785368288911
"C13orf46" 6.14654945168009 2.904299402468 118.074837146485 1.60164908367881e-06 0.000244785368288911
"GNG3" -7.06141701149124 5.7102057187737 117.123390429674 1.62111075807591e-06 0.000245345262805333
"MFAP2" 7.14233424372131 2.89307080402906 110.050954433846 1.62671668250428e-06 0.000245345262805333
"NTSR2" -8.39917764928673 3.83387291037817 65.9009865889372 1.6459513950527e-06 0.000246623762951524
"ALDOB" 9.83338912048143 7.59005002840718 116.01635204741 1.72239948716028e-06 0.000254587918358053
"STMN1" -5.16322587202994 7.00572711363051 114.952144698563 1.72584352436843e-06 0.000254587918358053
"KCNK6" 4.39532868002966 4.05941840649231 115.137786147383 1.73241942263277e-06 0.000254587918358053
"HCN2" -8.1424780455787 5.26617998167777 115.47303617948 1.7647591473421e-06 0.000257688557024316
"GABRD" -11.3508231742017 5.6346017964557 80.1672148593165 1.79480564205937e-06 0.000260417211039311
"KLK6" -9.76071741116315 2.34830451447431 83.764474043433 1.82303914114622e-06 0.000262850140319353
"LINC00320" -10.1582396710539 2.75703445452235 61.8237916164969 1.84281783333758e-06 0.000262946453436636
"LOC105374338" -5.98650194050082 1.43819105458356 94.7351915431447 1.84698790532905e-06 0.000262946453436636
"PACSIN1" -7.8425069109368 7.10351616496729 113.233363689996 1.85811670476489e-06 0.000262946453436636
"KIRREL2" 7.48431037241125 5.46321362176733 96.4636964395162 1.87604399156655e-06 0.000262949972876836
"CDK5R1" -5.4878033587683 5.34540951901559 112.7214058175 1.88789985426252e-06 0.000262949972876836
"C6" 10.0939230455301 5.13168039309468 101.097496590908 1.90159552301727e-06 0.000262949972876836
"NSG2" -7.90126784880358 5.78420463914872 113.20331792728 1.9040216138519e-06 0.000262949972876836
"TTC9B" -9.35904767103803 4.2841022384386 92.0232006460561 1.93467284143476e-06 0.000264015890785608
"THCAT155" -8.76161039835502 1.36187273758169 58.2277891562757 1.94103131458072e-06 0.000264015890785608
"SEPT4" -5.945563841038 7.50307836872161 111.761130731433 1.94628944570416e-06 0.000264015890785608
"OSTC" 2.98621527024046 5.17340206812764 111.476897737116 1.9669359001701e-06 0.000264108089273079
"BRINP1" -9.20539981161796 4.0889766607824 90.8250560342069 1.97001017516669e-06 0.000264108089273079
"SHISA7" -7.86048751887204 3.68729409270427 106.097651909695 2.0055432404074e-06 0.000267308597594997
"KNDC1" -6.67570652469913 5.76368964457896 111.187363222489 2.01953457419999e-06 0.000267617515107137
"MGAT5B" -7.0615906862786 4.56026149049715 111.832870236616 2.04372702636971e-06 0.000269266908503021
"PRODH2" 7.69717594154626 0.774040199658309 57.5276135984301 2.0571826447666e-06 0.000269490926464425
"MCOLN3" 7.89675083716334 3.76017306235952 105.810712362127 2.11818976889599e-06 0.000275062936999008
"P2RX6" -4.95828983663591 2.30376322034466 110.365370316842 2.12968966308086e-06 0.000275062936999008
"PGGHG" 7.25438016263738 9.55298264432821 109.269451950706 2.14162515711761e-06 0.000275062936999008
"CLPS" 17.8509715339631 12.5646180164608 93.4758028016183 2.15529174047201e-06 0.000275062936999008
"SYT1" -8.95624993029807 7.12038247103382 109.438969502141 2.1841158049634e-06 0.000275062936999008
"SYT12" -6.42331143302616 4.07643374369942 101.580787268872 2.19870222235607e-06 0.000275062936999008
"IQSEC3" -6.42441515191088 5.83593535336183 108.831394301063 2.19893465535982e-06 0.000275062936999008
"TMED11P" 8.64861840698526 2.86640727740033 60.6369714958998 2.22485707591624e-06 0.000275062936999008
"ERP27" 12.6775458359309 6.60632059165654 76.7370145339272 2.22978810700522e-06 0.000275062936999008
"REG1CP" 15.2736746605209 8.79960339753421 58.9754569562844 2.2434675166646e-06 0.000275062936999008
"SH3GL2" -7.53851144929042 6.11476702487359 108.799316376496 2.25601978886417e-06 0.000275062936999008
"KCNK12" -6.29530076085772 1.94862281907185 99.7936435151714 2.25751792234664e-06 0.000275062936999008
"HRH3" -8.22765664376101 3.52404518982909 93.5585346961081 2.26048209094903e-06 0.000275062936999008
"SLCO1A2" -10.8210853875726 5.12540825095984 57.719730993207 2.26769444243457e-06 0.000275062936999008
"HM13" 2.74689208495652 6.86250853336812 107.563681682259 2.28996251880347e-06 0.000275596521551164
"LTBR" 3.93459327684081 6.13231602428458 107.418134953438 2.30422322106696e-06 0.000275596521551164
