"logFC" "logCPM" "F" "PValue" "FDR"
"HOXA5" 8.72094845834704 2.71947058519136 103.003050596856 4.88792575935202e-07 0.000215362973733633
"HAPLN2" -6.58113848264203 4.67744227473006 155.350526449925 4.9190671378865e-07 0.000215362973733633
"SLC32A1" -9.65115116749329 1.87247258634723 85.445882313334 4.97894770245693e-07 0.000215362973733633
"CPLX1" -5.99241046389987 6.35054330681797 150.556829771897 5.41235964391617e-07 0.0002297747126607
"CAMK2B" -7.46915118227658 6.79226791460168 149.114864916584 5.65471153929156e-07 0.00023569865825138
"HOXA4" 9.26338889250087 1.72963011848684 106.957991531414 5.84624191026421e-07 0.000236003375293957
"PVALB" -11.197330621689 4.13881469029079 70.7002290083134 5.86791380229251e-07 0.000236003375293957
"SEPT3" -7.40677231276628 6.95510487182194 147.794049776898 5.99887329452195e-07 0.000237110638408475
"GDAP1L1" -6.25528533983997 3.4880063702097 146.675672783592 6.31073320380668e-07 0.000245209421520794
"DNM1" -4.70427670235046 7.54244133443391 143.44043969346 6.65250754738087e-07 0.000248332295274128
"KCNK5" 7.79007383028242 4.64467823153943 139.164838034284 6.70645424040081e-07 0.000248332295274128
"LOC105372097" -7.0229537999723 0.582144935352287 82.4041324427525 6.71607516117598e-07 0.000248332295274128
"HTR5A" -8.22750223530151 2.77840271959527 75.1895887787921 6.96447530073719e-07 0.000253429517887937
"BEX2" -4.58048215669874 5.38672466098366 141.056508502275 7.15969258755801e-07 0.000253728486892417
"LOC112268127" 4.42889715333613 3.63655961429061 96.6087504556876 7.19404652039568e-07 0.000253728486892417
"LZTS3" -4.07641338965286 6.87629024863951 140.089061864748 7.36935001151603e-07 0.000255973256081826
"MMP14" 4.6983160773315 6.48424054436572 136.992814049809 8.12103359208063e-07 0.000277872679251415
"WBP2NL" -4.6879210524638 6.7419123580477 136.268304361346 8.31627514896963e-07 0.000279015885577259
"DTX1" -3.9836763267774 4.05525427144629 136.008152523235 8.39786089632755e-07 0.000279015885577259
"MLC1" -11.092938783668 6.67576724662144 99.1265908777669 8.6722994113937e-07 0.000284017805723144
"WDR11-AS1" -5.11207849606455 -0.549290740498517 81.6333089289051 9.11603839265501e-07 0.000293792001154595
"NAT8L" -7.57965740008395 6.60515339308028 132.963941650459 9.29125033652334e-07 0.000293792001154595
"C16orf92" -6.23370065391389 1.48218451978126 112.5999740933 9.35520876086605e-07 0.000293792001154595
"SCAMP5" -5.07210241167559 7.02274400687518 131.546868756933 9.67142251974629e-07 0.000299618055763762
"STAC2" -5.85607654307653 4.43618362320813 129.835438963382 1.00914157872024e-06 0.000308460942562153
"LOC101928882" 5.13951805316783 -0.374493982579212 89.7782566274351 1.052800929448e-06 0.000313351834966251
"MFAP4" 6.4323394172701 6.58911532196249 128.575377028546 1.06865222876178e-06 0.000313351834966251
"LOC105374338" -6.34559956529707 1.43819105458356 106.241626773307 1.08546211246259e-06 0.000313351834966251
"DLGAP1" -6.83204331946883 5.33932031016714 87.7460582555039 1.15047910816838e-06 0.000313351834966251
"C1R" 4.51634951837833 7.19854374108583 126.338582401276 1.15066974549427e-06 0.000313351834966251
"LOC100996385" -8.05683047048593 0.342307810753597 78.3000349950112 1.15211255698746e-06 0.000313351834966251
"GRM3" -7.80961142187606 4.40607693826417 101.658915128314 1.15782863676506e-06 0.000313351834966251
"CLCN4" -5.45430923050055 4.48617276474841 126.062707262712 1.17149630328586e-06 0.000313351834966251
"ZIC2" -9.29569665654409 4.92433328948113 73.6878011860581 1.19272395979244e-06 0.000313351834966251
"HOXB6" 8.15979372194203 2.55278596550965 95.6407505651596 1.21208226102978e-06 0.000313351834966251
"RNFT2" -5.18752836102668 2.4492528646527 126.866485330509 1.21214544263516e-06 0.000313351834966251
"APC2" -5.15613889767589 6.27792409058103 124.119163314723 1.24675334181149e-06 0.000313351834966251
"FBLIM1" 5.56804752856046 5.66923606577303 124.024081429533 1.25109346897728e-06 0.000313351834966251
"HOXD8" 8.42282870076357 1.63101793586844 73.9708725913825 1.25758265992186e-06 0.000313351834966251
"TMEM132A" -4.32904583236371 5.32402937694248 123.75042756879 1.25892613348851e-06 0.000313351834966251
"SCN1A" -7.90049130728731 3.75380688485706 103.065749182917 1.28693502236718e-06 0.000313351834966251
"ALDOC" -6.34901883636965 8.43036446254533 122.970052700403 1.29399428104076e-06 0.000313351834966251
"GRIA1" -6.65597573862859 4.95850945601685 123.956694388428 1.30141010359954e-06 0.000313351834966251
"NDP-AS1" -7.24212909957378 0.267006128287981 92.289694948612 1.31985631178296e-06 0.000313351834966251
"UNC5A" -8.60154774745008 5.19000077036746 123.564406010812 1.32069074396648e-06 0.000313351834966251
"CDK5R1" -5.79720425576694 5.34540951901559 122.497664019867 1.32279489097238e-06 0.000313351834966251
"SLCO1A2" -11.6970145022051 5.12540825095984 63.2824841954386 1.3258507302825e-06 0.000313351834966251
"VASP" 3.78477228452372 5.88389898251393 121.819250547435 1.34575942128722e-06 0.00031481157890826
"THCAT155" -8.38857084457285 1.36187273758169 61.7669495045572 1.36999014301898e-06 0.000317242666956668
"POU3F2" -10.1359020298514 2.33619248505433 70.9365644948073 1.38934560277102e-06 0.000318507479435256
"HOXA-AS2" 7.67073197960178 0.259390224003525 89.0602603356541 1.46437148879217e-06 0.000330307902278628
"HOXB5" 10.1671490230297 2.58549502417574 86.8977929351922 1.49937080711192e-06 0.000330307902278628
"PLVAP" 6.16852486864539 6.12281753747357 119.046036102821 1.50054501578099e-06 0.000330307902278628
"SH3GL2" -8.06796946870726 6.11476702487359 119.415099692676 1.51815873335723e-06 0.000330307902278628
"GAD2" -12.1133866975013 2.80203212475175 206.935220163363 1.5299521307108e-06 0.000330307902278628
"DLGAP3" -6.44171928262891 5.14203051983236 118.413585259085 1.53736624767631e-06 0.000330307902278628
"KCNK6" 4.46582254473033 4.05941840649231 118.186626986717 1.54937518518224e-06 0.000330307902278628
