"logFC" "logCPM" "F" "PValue" "FDR"
"LOC105374197" -8.66825734092338 0.89966854833726 66.8466182696829 3.53460654444218e-06 0.00118009740198607
"PPY" -10.7360871503264 1.22074166952587 102.313562326459 3.59229632206743e-06 0.00118009740198607
"SPTBN2" -4.27820663661988 6.7622112089411 96.4365414727441 3.6395737209017e-06 0.00118009740198607
"CTSLP1" -6.54516819919258 -0.390780964925656 52.363211101303 3.66227781879462e-06 0.00118009740198607
"NPM2" -3.45266243788995 3.8511302359261 96.0478846964554 3.79938508572519e-06 0.00118009740198607
"HOXB-AS3" 5.48924776861394 2.63236887573654 72.7941453271889 3.85942135022377e-06 0.00118009740198607
"UMOD" -6.67216011824658 1.261204496405 65.320451651475 3.85951241448918e-06 0.00118009740198607
"LOC105370126" -5.99996290694498 -0.893212573891307 51.5262676649927 3.92433161498783e-06 0.00118009740198607
"AQP12A" -8.00653049617558 5.2659793150214 59.8578572495901 3.9264801995164e-06 0.00118009740198607
"CAMK2N2" -6.31703772419809 4.7738881484564 94.798276322939 4.01180493150045e-06 0.00118009740198607
"HM13" -2.5499182322797 6.86250853336812 94.2020592913011 4.01516237098859e-06 0.00118009740198607
"ONECUT1" -9.09365365321122 3.84388905699961 82.04353723879 4.63070190102733e-06 0.00133819019855258
"CLPS" -14.7864531104075 12.5646180164608 78.786613029878 4.66980221959461e-06 0.00133819019855258
"LRRC74A" -4.71677578998267 -1.22267147506606 51.0769960496175 4.74302083911229e-06 0.00134239200909443
"CELF2" 3.27255019844 6.20880498216774 89.8275843792259 4.90495583905595e-06 0.00137129405622387
"CPA4" -7.64077716375804 2.40683481740845 79.9614157209456 4.9785640373388e-06 0.00137510338019267
"LOC105375587" -8.88621265494664 3.45323576497079 114.130044990825 5.25682755763257e-06 0.00138960496640912
"CKB" 4.31252835871454 9.40459057642586 87.5925273885146 5.44974087167261e-06 0.00138960496640912
"LINC01624" -7.75680605910858 2.52935999426998 56.3288944344378 5.52518827864126e-06 0.00138960496640912
"LOC105376910" -8.83611943301796 1.811920604045 52.4544666054278 5.57258187289758e-06 0.00138960496640912
